"","Number of wins","Base Hits by batters (1B,2B,3B,HR)","Doubles by batters (2B)","Triples by batters (3B)","Homeruns by batters (4B)","Walks by batters","Strikeouts by batters","Stolen bases","Caught stealing","Batters hit by pitch (get a free base)","Hits allowed","Homeruns allowed","Walks allowed","Strikeouts by pitchers","Errors","Double Plays"
"679",62,1552,279,70,78,468,514,50,50.04,52.78,1633,82,492,541,169,173
"680",61,1514,254,74,22,424,487,25,68.87,53.23,1593,23,446,512,174,204
"681",63,1503,279,72,49,459,459,37,50.38,56.38,1581,52,483,483,187,136
"682",62,1350,222,39,36,372,377,32,61.13,53.75,1439,38,396,402,189,148
"683",56,1532,244,70,59,336,571,36,48.97,54.89,1644,63,360,613,194,146
"684",72,1486,258,72,77,415,579,76,65.4,54.6,1573,82,439,613,216,147
"685",78,1553,236,77,86,431,614,72,64.43,55.13,1634,90,453,646,201,158
"686",59,1398,226,62,77,460,616,56,53.85,54.3,1471,81,484,648,219,146
"687",89,1615,271,62,119,395,559,21,40.27,55.67,1744,129,427,604,183,144
"688",102,1571,283,63,103,526,566,48,46.8,54.41,1653,108,553,595,167,179
"689",106,1511,280,40,94,480,533,76,55.2,58.45,1600,100,508,564,124,167
"690",93,1355,224,35,67,502,450,72,55.94,55.46,1425,70,528,473,158,155
"691",81,1296,211,42,70,515,585,45,44.86,54.4,1381,75,549,623,187,168
"692",94,1410,241,33,54,445,411,54,56.01,53.54,1483,57,468,432,145,161
"693",64,1385,232,27,59,412,560,75,62.4,52.46,1457,62,433,589,154,145
"694",70,1328,217,35,68,519,635,86,57.38,53.18,1397,72,546,668,160,202
"695",77,1443,255,45,100,567,558,48,40.45,56.07,1518,105,596,587,143,141
"696",68,1340,234,39,110,506,620,44,41.59,54.33,1419,116,536,656,162,143
"697",65,1497,278,37,90,451,588,33,38.73,55.68,1575,95,474,619,143,158
"698",70,1446,272,29,105,534,526,39,39.23,54.66,1531,111,565,557,148,140
"699",72,1377,226,35,93,437,607,46,42,52.98,1449,98,460,639,147,148
"700",73,1371,223,47,109,505,746,34,44,57.88,1442,115,531,785,113,153
"701",72,1469,200,36,175,510,737,26,21,55.06,1545,184,536,775,136,185
"702",79,1498,227,29,190,585,691,54,38,52.46,1576,200,615,727,146,178
"703",84,1527,264,35,197,574,791,54,38,58.56,1606,207,604,832,113,146
"704",80,1430,255,42,129,602,805,64,40,55.66,1504,136,633,847,104,156
"705",78,1523,271,36,169,525,803,68,29,55.76,1602,178,552,845,133,165
"706",70,1393,242,42,147,539,903,77,39,47.95,1465,155,567,950,131,163
"707",98,1487,260,37,166,445,801,74,35,56.87,1564,175,468,843,141,130
"708",98,1523,252,40,167,498,903,66,39,55.21,1523,167,498,903,143,144
"709",86,1333,225,44,122,474,960,92,58,59.4,1333,122,474,960,135,127
"710",92,1383,220,38,130,457,974,90,36,59.43,1383,130,457,974,130,137
"711",89,1544,268,61,183,538,1003,82,40,59.55,1544,183,538,1003,117,142
"712",77,1452,235,33,151,399,888,71,51,53.53,1470,153,404,899,124,135
"713",87,1366,251,54,109,372,969,92,63,59.86,1366,109,372,969,121,124
"714",102,1498,253,45,191,547,984,115,52,58.58,1498,191,547,984,151,173
"715",79,1306,203,28,138,438,907,59,33,51.67,1306,138,438,907,103,174
"716",99,1398,232,34,137,639,947,148,55,55.25,1398,137,639,947,115,162
"717",98,1437,271,35,135,693,940,146,49,54.6,1437,135,693,940,134,151
"718",108,1515,278,37,124,691,916,168,36,58.36,1515,124,691,916,102,173
"719",102,1599,271,63,141,681,902,210,57,55.83,1599,141,681,902,102,157
"720",88,1513,269,42,181,600,911,170,64,56.62,1513,181,600,911,95,154
"721",93,1387,272,32,137,640,905,138,58,51.62,1396,138,644,911,135,121
"722",91,1454,268,31,133,618,908,100,47,55.74,1463,134,622,914,125,153
"723",89,1445,256,45,113,537,852,156,43,56.34,1445,113,537,852,106,144
"724",99,1458,285,36,96,563,830,87,56,61.81,2187,144,845,1245,120,149
"725",61,1375,228,34,82,470,817,131,69,53.19,1375,82,470,817,128,158
"726",74,1274,236,35,107,588,1006,154,77,58.07,1274,107,588,1006,114,121
"727",70,1342,238,30,106,566,978,160,63,54.59,1342,106,566,978,139,116
"728",90,1394,251,34,115,580,861,160,70,53.2,1403,116,584,866,122,143
"729",86,1404,237,35,144,586,920,177,53,49.07,1404,144,586,920,140,160
"730",84,1478,262,29,192,514,928,169,46,58.54,1478,192,514,928,128,137
"731",88,1342,248,25,123,482,928,208,56,59.1,1350,124,485,934,122,132
"732",75,1362,243,28,128,493,1028,128,71,57.23,1362,128,493,1028,121,108
"733",91,1466,284,40,125,466,913,166,66,57.03,1466,125,466,913,102,126
"734",90,1418,281,44,99,563,888,125,65,53.94,1418,99,563,888,96,128
"735",73,1457,261,28,137,485,1025,142,59,60.87,1457,137,485,1025,120,133
"736",94,1623,300,51,176,551,1049,169,72,64.84,2306,250,783,1491,104,129
"737",96,1492,312,39,181,584,1064,214,77,58.32,1679,204,657,1197,89,158
"738",81,1398,259,36,191,604,1134,171,63,57.98,1398,191,604,1134,121,145
"739",76,1386,269,27,142,518,1113,190,67,59.83,1386,142,518,1113,106,129
"740",77,1441,298,28,138,608,1107,95,42,56.14,1441,138,608,1107,122,142
"741",95,1527,310,37,208,566,1118,163,54,59.19,1518,207,563,1111,104,136
"742",85,1545,302,36,200,559,995,99,38,64,1545,200,559,995,111,156
"743",66,1464,304,22,176,468,1172,103,54,65,1464,176,468,1172,138,136
"744",78,1386,297,21,169,583,1188,116,52,66,1386,169,583,1188,120,169
"745",69,1349,239,21,182,524,1326,80,34,79,1349,182,524,1326,141,152
"746",76,1380,287,28,194,599,1335,77,25,81,1380,194,599,1335,113,123
"747",73,1453,335,15,222,611,1303,72,23,62,1453,222,611,1303,104,133
"748",80,1419,291,12,217,614,1192,124,33,59,1419,217,614,1192,128,139
"749",70,1358,170,94,45,693,624,266,116.64,53.11,2200,73,1123,1011,630,110.41
"750",64,1562,235,81,14,289,388,149,110.75,52.58,1861,17,344,462,392,118
"751",82,1669,295,81,39,367,424,167,95.7,51.24,1988,46,437,505,342,114
"752",89,1464,267,110,36,300,689,203,116.93,53.04,1694,42,347,797,373,115
"753",92,1438,241,97,29,329,766,191,129.95,52.37,1543,31,353,822,274,92
"754",80,1386,222,76,19,301,725.59,198,141.18,52.7,1458,20,317,787.42,245,88
"755",94,1605,254,77,13,349,567.91,215,127.41,53.5,1699,14,370,635.36,230,118
"756",91,1301,194,72,12,357,739.52,206,142.5,53.45,1387,13,380,798.68,281,146
"757",75,1288,183,86,11,300,651.01,184,143.14,54.39,1364,12,318,714.86,293,116
"758",85,1589,252,86,21,375,573.49,221,132.65,53.69,1682,22,397,646.83,320,114
"759",79,1486,232,82,13,431,630.89,205,135.16,54.23,1573,14,456,702.83,303,131
"760",92,1438,220,79,17,448,594,204,131.74,54.16,1533,18,477,633,258,132
"761",54,1336,188,74,11,476,725,177,166,54.75,1415,12,504,768,316,126
"762",61,1290,180,84,21,522,726,147,125,52.52,1375,22,556,774,290,87
"763",81,1330,245,69,17,549,636,168,125.63,53.77,1399,18,578,669,244,137
"764",93,1288,229,67,14,578,627,221,141.32,53.89,1355,15,608,660,255,143
"765",93,1383,225,85,11,626,492,210,145.6,53.69,1764,14,799,628,264,105
"766",98,1478,296,84,28,580,428,132,94.84,53.56,1723,33,676,499,234,119
"767",103,1656,316,100,37,604,399,77,97,54.09,1742,39,635,420,195,130
"768",99,1742,373,95,44,655,396,53,44,55.58,1832,46,689,417,215,130
"769",82,1624,337,77,34,583,348,94,61,53.89,1708,36,613,366,211,147
"770",87,1688,319,79,62,670,407,84,82,53.29,1787,66,709,431,240,151
"771",71,1673,324,62,43,521,393,89,59,52.14,1771,46,552,416,213,138
"772",74,1697,300,61,55,547,399,95,81,50.92,1785,58,575,420,223,154
"773",93,1608,350,52,28,479,349,93,45,55.93,1692,29,504,367,181,161
"774",70,1558,340,55,28,403,388,67,76,52.6,1650,30,427,411,214,155
"775",65,1615,315,64,36,397,448,53,55,49.9,1699,38,418,471,232,197
"776",86,1625,313,84,66,483,387,80,91,53.07,1732,70,515,412,211,173
"777",85,1740,377,62,76,515,485,54,49,52.75,1830,80,542,510,247,164
"778",82,1696,338,73,75,584,455,66,63,52.8,1784,79,614,479,243,150
"779",93,1646,330,79,83,603,484,55,58,52.2,1754,88,643,516,201,137
"780",80,1466,234,83,54,481,457,39,43,57.83,1573,58,516,490,168,136
"781",87,1577,320,80,108,600,580,82,54,52,1659,114,631,610,165,161
"782",92,1605,320,95,120,586,645,88,38,54.3,1711,128,625,687,162,155
"783",92,1567,306,83,89,586,604,76,48,52.79,1648,94,616,635,189,156
"784",94,1496,302,64,106,546,628,56,38,54.25,1574,112,574,661,156,173
"785",79,1420,262,88,108,539,636,66,49,55.2,1494,114,567,669,149,166
"786",79,1414,235,61,53,526,572,73,78,54.24,1487,56,553,602,171,184
"787",87,1423,260,48,58,600,552,50,61,55.51,1507,61,635,584,166,194
"788",82,1395,241,54,73,564,646,21,35,55.6,1559,82,630,722,141,166
"789",72,1352,245,59,83,532,733,60,52,53.06,1422,87,560,771,155,155
"790",84,1464,246,54,118,528,641,31,26,59.88,1540,124,555,674,109,187
"791",101,1603,253,56,162,675,601,56,46,57.56,1675,169,705,628,119,191
"792",94,1429,204,61,118,632,562,46,42,55.36,1503,124,665,591,108,202
"793",97,1491,234,48,173,729,656,42,36,56.66,1568,182,767,690,136,158
"794",98,1416,219,37,147,637,665,55,37,53.97,1490,155,670,700,141,159
"795",97,1500,211,31,168,641,718,35,31,59.67,1578,177,674,755,133,207
"796",117,1439,198,41,164,670,703,32,35,59.92,1514,173,705,740,135,156
"797",98,1394,205,33,156,761,752,29,25,59.59,1466,164,801,791,114,160
"798",93,1321,209,24,161,716,804,42,34,54.56,1390,169,753,846,136,137
"799",80,1381,211,28,148,626,832,42,50,49.99,1462,157,663,881,156,163
"800",82,1419,222,33,170,523,867,53,52,52.41,1502,180,554,918,161,181
"801",94,1462,227,26,176,455,758,35,38,58.18,1538,185,479,797,134,145
"802",78,1502,259,39,151,495,724,34,11,57.65,1511,152,498,728,140,143
"803",80,1341,202,22,180,502,939,35,16,58.26,1341,180,502,939,139,168
"804",79,1314,214,29,169,469,1102,59,36,55.3,1314,169,469,1102,143,129
"805",79,1386,208,22,164,500,1063,79,51,60.63,1386,164,500,1063,118,149
"806",81,1300,156,25,155,450,914,53,41,53.15,1300,155,450,914,138,132
"807",75,1282,213,35,131,413,984,53,65,55.26,1282,131,413,984,115,138
"808",87,1274,211,36,75,430,863,116,61,54.81,1282,75,433,868,127,131
"809",62,1280,174,24,120,538,912,86,37,55.03,1288,121,541,918,143,154
"810",76,1358,197,23,183,503,909,25,36,57.77,1358,183,503,909,133,168
"811",60,1303,200,20,109,467,868,57,37,55.66,1303,109,467,868,116,159
"812",75,1267,194,19,95,436,791,51,55,55.76,1316,99,453,821,115,163
"813",71,1429,205,29,158,471,793,60,68,53.14,1429,158,471,793,138,174
"814",77,1395,201,19,131,432,756,79,68,53.03,1395,131,432,756,143,157
"815",80,1436,205,25,156,535,680,108,91,53.94,1463,159,545,693,137,159
"816",83,1450,193,39,87,488,643,76,70,59.48,1477,89,497,655,123,162
"817",70,1426,227,46,108,497,711,65,64,57.64,1453,110,506,724,123,145
"818",82,1397,207,29,139,661,791,144,91,51.91,1406,140,665,796,127,150
"819",80,1536,224,41,90,625,633,119,59,56.02,1555,91,633,641,106,145
"820",82,1450,236,33,61,539,596,187,58,52.16,2281,96,848,937,137,143
"821",70,1451,249,31,86,605,691,109,71,52.61,1451,86,605,691,122,174
"822",75,1498,222,39,123,600,815,126,77,53.7,1498,123,600,815,146,163
"823",60,1465,254,31,116,492,817,132,72,53.21,1465,116,492,817,141,161
"824",84,1620,270,45,157,456,944,141,54,61.37,1620,157,456,944,156,148
"825",61,1476,267,30,187,489,977,140,54,56.41,1476,187,489,977,152,128
"826",78,1435,235,28,134,416,866,97,50,51.92,1435,134,416,866,124,131
"827",73,1340,221,26,127,499,934,74,51,56.83,1340,127,499,934,118,126
"828",77,1465,266,41,110,458,836,107,52,59.88,1465,110,458,836,117,146
"829",57,1390,236,26,79,449,888,84,58,53.97,1390,79,449,888,142,150
"830",76,1495,227,24,127,448,885,144,67,51.08,1495,127,448,885,141,176
"831",76,1547,264,31,141,488,843,159,55,53.41,1547,141,488,843,148,174
"832",95,1670,344,29,239,548,902,188,69,66.4,2394,343,786,1293,129,171
"833",113,1644,314,26,233,610,862,149,60,61.04,1850,262,686,970,114,160
"834",100,1675,337,23,219,675,849,161,50,61.25,1685,220,679,854,125,157
"835",87,1599,303,22,221,621,961,119,59,59.03,1609,222,625,967,109,160
"836",97,1629,309,32,209,743,1099,147,50,59.73,1629,209,743,1099,106,153
"837",90,1639,310,30,221,685,1057,113,34,51,1639,221,685,1057,72,149
"838",91,1559,294,37,212,577,1076,79,41,69,1559,212,577,1076,107,137
"839",74,1349,255,26,192,542,1000,52,37,56,1349,192,542,1000,113,161
"840",68,1413,296,26,158,466,1062,86,61,62,1413,158,466,1062,126,178
"841",80,1565,345,29,184,606,1009,94,55,78,1565,184,606,1009,106,152
"842",93,1522,337,30,207,503,1093,62,36,54,1522,207,503,1093,106,156
"843",78,1576,351,27,196,556,1204,55,23,54,1576,196,556,1204,118,165
"844",69,1711,265,117,34,634,430,224,99.44,53.97,2132,42,790,536,663,130.17
"845",70,1464,201,112,42,595,715,357,129.65,51.85,1719,49,698,839,573,109.18
"846",96,1481,192,93,19,659,673,427,159.79,54.1,1790,23,797,814,475,101.77
"847",72,1316,182,72,24,626,627,331,158.39,53.49,1556,28,740,741,448,109.08
"848",48,1447,220,95,17,464,573,439,137.48,53.01,1789,21,574,709,712,109.94
"849",61,1321,157,72,15,387,686,433,153.33,53.58,1621,18,475,842,589,109.23
"850",54,1317,162,72,26,610,582,187,137.94,53.06,1616,32,749,714,497,110.74
"851",76,1508,213,103,26,605,541,282,145.49,53.44,1758,30,705,631,565,111.04
"852",101,1495,213,104,28,600,583,245,149.92,54.52,1625,30,652,634,441,104.95
"853",92,1804,281,124,41,673,290,319,97.23,52,2283,52,852,367,492,118.68
"854",85,1811,303,113,46,591,378,276,95.03,51.66,2274,58,742,475,432,117.47
"855",105,1773,242,83,36,588,450,233,111.01,53.41,2209,45,733,561,434,118.04
"856",101,1852,262,91,35,552,400,221,101.75,54.45,2344,44,699,506,354,128.99
"857",85,1699,237,109,20,538,425,224,120.43,52.63,2101,25,665,526,318,125.28
"858",88,1499,176,61,20,593,333,101,102.62,54.33,1630,22,645,362,322,134.72
"859",21,1402,149,53,13,304,295,134,100.33,52.41,1475,14,320,310,408,111.53
"860",77,1895,244,8,8,93,0,103.46,65.54,56.75,5203,22,255,0,1225,88.83
"861",73,1685,206,31,0,58,0,102.97,71.41,55.34,4074,0,140,0,931,85.81
"862",22,1383,127,30,10,102,339,252.7,107.02,50.12,3447,25,254,845,1169,112
"863",43,1549,205,97,17,222,313,311.64,112.6,52.52,4402,48,631,890,1117,94
"864",100,1698,181,59,14,157,381,262.03,107.54,55.36,4585,38,424,1029,686,100
"865",87,1646,257,107,16,134,419,266.08,110.46,53.29,3333,32,271,848,863,97
"866",43,1314,184,73,14,152,541,256.75,124.29,54.76,2661,28,308,1096,865,99
"867",67,1507,278,59,142,388,944,146,90,54.07,1507,142,388,944,167,149
"868",73,1520,285,54,173,523,1054,126,73,63.92,2105,240,724,1459,116,162
"869",87,1582,291,48,225,545,1061,141,66,63.52,1780,253,613,1194,120,164
"870",83,1607,297,37,221,527,1108,201,66,58.83,1607,221,527,1108,149,167
"871",83,1611,269,40,239,562,1060,137,65,59.82,1611,239,562,1060,111,202
"872",77,1640,333,36,183,469,949,67,47,57.88,1640,183,469,949,102,193
"873",72,1644,305,39,223,508,863,70,43,54.42,1644,223,508,863,118,186
"874",82,1664,320,53,161,601,907,131,61,42,1664,161,601,907,94,176
"875",73,1663,324,61,213,511,1027,132,54,61,1663,213,511,1027,96,167
"876",73,1508,283,41,152,497,1043,103,53,56,1508,152,497,1043,112,158
"877",74,1472,330,31,198,619,1134,63,37,52,1472,198,619,1134,116,165
"878",68,1531,331,34,202,568,1181,44,33,54,1531,202,568,1181,89,161
"879",67,1477,280,34,150,509,1103,65,32,64,1477,150,509,1103,118,158
"880",76,1504,325,54,157,561,1108,85,50,60,1504,157,561,1108,91,190
"881",106,1585,182,97,40,227,744,315.2,113.71,57.05,2445,62,350,1148,821,106.55
"882",73,1321,226,46,18,212,899,267.81,123.06,58.64,2352,32,377,1600,817,106.91
"883",89,1564,216,96,35,456,415,245,116.22,54.98,1877,42,547,498,492,152
"884",77,1464,193,108,14,348,627,152,132.32,54.07,1744,17,415,747,335,98
"885",66,1312,164,74,12,367,677,119,118.84,53.17,1398,13,391,722,291,98
"886",84,1280,201,57,14,397,687.74,137,128.5,54.11,1355,15,420,859.82,280,85
"887",77,1299,167,70,11,362,689.01,224,148.34,53.2,1412,12,394,737.94,282,94
"888",95,1426,211,91,20,339,627.58,175,147.15,53.26,1510,21,359,700.1,316,101
"889",94,1624,242,101,32,495,571.44,290,131.5,54.68,1708,34,521,654.8,328,82
"890",73,1457,200,91,20,561,648.05,286,160.8,52.79,1543,21,594,720.27,349,96
"891",70,1423,191,107,25,525,530,231,143.32,52.34,1507,26,556,561,314,111
"892",85,1396,206,89,26,590,569,223,163,52.77,1478,28,625,602,302,107
"893",92,1442,212,101,18,573,556,200,137.07,52.52,1517,19,603,585,222,116
"894",83,1394,216,82,26,511,504,173,125.28,55.16,1476,28,541,534,248,101
"895",71,1367,181,72,17,581,489,158,135.63,52.73,1758,22,747,629,273,99
"896",93,1526,257,97,27,496,494,140,99.87,55.51,1766,31,574,572,237,94
"897",64,1481,240,76,32,504,411,80,69,54.12,1558,34,530,432,241,100
"898",83,1726,263,92,57,558,398,82,64,55.01,1816,60,587,419,202,142
"899",87,1661,284,73,43,627,405,92,65,52.67,1747,45,660,426,210,108
"900",90,1687,331,80,37,639,421,105,80,53.5,1775,39,672,443,196,149
"901",85,1705,291,88,53,673,406,102,66,53.49,1794,56,708,427,180,150
"902",72,1553,279,102,65,493,461,119,81,52.87,1634,68,519,485,223,147
"903",74,1758,357,102,116,548,522,100,76,52.24,1849,122,576,549,255,157
"904",79,1582,313,95,86,485,534,103,74,52.42,1664,90,510,562,198,164
"905",64,1532,307,73,45,505,492,123,79,51.86,1612,47,531,518,232,146
"906",82,1587,312,86,86,521,561,111,53,51.48,1703,92,559,602,200,165
"907",106,1729,367,56,78,672,555,131,58,55.69,1819,82,707,584,164,158
"908",100,1688,323,89,114,673,489,75,48,52.26,1811,122,722,525,135,165
"909",87,1723,343,58,99,673,486,77,52,54.48,1813,104,708,511,162,167
"910",94,1695,325,65,158,690,748,94,47,53.19,1783,166,726,787,155,157
"911",88,1508,230,55,144,729,611,80,43,55.27,1586,151,767,643,155,181
"912",85,1564,291,70,130,652,623,93,40,54.91,1645,137,686,655,208,155
"913",95,1629,328,68,141,698,585,69,41,52.75,1714,148,734,615,204,122
"914",79,1485,260,58,85,633,614,45,29,58.3,1562,89,666,646,196,136
"915",82,1474,210,49,81,508,582,42,45,56.13,1551,85,534,612,186,137
"916",93,1478,231,46,63,560,526,64,58,53.43,1555,66,589,553,200,194
"917",93,1424,240,50,82,547,564,64,57,53.97,1508,87,579,597,167,183
"918",97,1444,223,43,114,654,648,68,43,55.07,1519,120,688,682,163,145
"919",89,1434,246,44,108,802,594,55,63,55.11,1508,114,844,625,163,149
"920",82,1469,230,61,82,706,530,23,34,58.18,1545,86,743,558,163,150
"921",92,1478,226,54,93,790,528,41,55,54.8,1555,98,831,555,139,183
"922",100,1597,300,53,120,760,505,24,42,61.41,1680,126,799,531,126,204
"923",77,1486,243,37,109,598,552,39,36,54.89,1563,115,629,581,171,175
"924",53,1344,200,39,108,582,636,28,40,53.95,1414,114,612,669,157,153
"925",72,1421,226,43,95,518,634,50,46,55.03,1495,100,545,667,134,138
"926",83,1480,222,40,137,674,613,43,23,55.58,1557,144,709,645,146,167
"927",86,1572,220,53,158,677,650,45,27,55.65,1654,166,712,684,147,159
"928",82,1447,236,39,122,530,676,38,49,57.88,1522,128,558,711,127,159
"929",81,1456,241,43,115,487,713,50,34,58.82,1532,121,512,750,112,147
"930",75,1308,198,36,158,669,766,69,34,54.27,1376,166,704,806,144,145
"931",101,1481,215,53,180,673,867,98,36,59.7,1481,180,673,867,146,147
"932",86,1360,192,36,210,655,900,69,21,53.65,1368,211,659,906,157,115
"933",79,1388,195,36,148,592,908,73,32,51.89,1388,148,592,908,113,124
"934",85,1394,199,57,157,517,912,60,27,56.17,1394,157,517,912,109,137
"935",89,1278,190,27,162,554,952,57,41,55.42,1278,162,554,952,114,126
"936",88,1383,224,45,179,551,987,41,34,56.05,1383,179,551,987,117,142
"937",91,1315,192,36,152,626,994,37,21,56.18,1315,152,626,994,130,126
"938",103,1292,190,39,185,521,964,26,32,62.02,1292,185,521,964,101,133
"939",90,1316,188,29,182,578,922,35,28,58.05,1316,182,578,922,126,130
"940",79,1282,207,38,148,656,825,29,30,55.05,1282,148,656,825,132,142
"941",91,1399,214,38,179,540,854,35,43,57.23,1399,179,540,854,106,156
"942",89,1252,186,33,127,502,824,18,22,56.91,1300,132,521,856,100,142
"943",85,1400,213,32,157,509,722,28,30,58.78,1400,157,509,722,112,144
"944",72,1375,200,35,131,436,784,67,38,50.61,1375,131,436,784,158,155
"945",58,1363,174,40,127,390,888,64,58,51.3,1389,129,397,905,176,144
"946",74,1410,208,38,102,453,735,108,59,55.71,1419,103,456,740,169,162
"947",74,1480,228,45,166,452,764,60,46,54.57,1480,166,452,764,140,153
"948",86,1520,218,34,129,563,695,90,38,54.67,1520,129,563,695,117,177
"949",86,1455,222,35,165,579,819,177,87,50.54,1464,166,583,824,121,185
"950",84,1543,232,53,143,645,844,75,68,53.37,1543,143,645,844,129,165
"951",89,1370,220,43,97,600,743,91,55,56.53,2036,144,892,1104,97,162
"952",83,1489,237,40,177,470,807,93,66,58.07,1489,177,470,807,115,165
"953",92,1530,283,53,156,508,831,93,53,56.89,1530,156,508,831,124,142
"954",104,1529,254,46,187,602,941,106,68,59.9,1529,187,602,941,124,162
"955",85,1422,256,45,203,529,932,75,41,56.06,1431,204,532,938,142,153
"956",87,1447,234,30,198,613,885,138,58,52.53,1447,198,613,885,108,163
"957",98,1535,274,32,225,653,913,106,50,57.6,1535,225,653,913,122,147
"958",88,1358,213,28,143,588,841,87,42,52.76,1358,143,588,841,109,129
"959",59,1315,198,24,116,585,899,103,50,53.66,1315,116,585,899,130,153
"960",79,1418,241,32,172,634,952,82,57,53.45,1418,172,634,952,131,178
"961",84,1372,259,26,209,699,1185,109,47,60.59,1372,209,699,1185,104,171
"962",75,1411,256,16,182,675,1055,66,45,57.94,1411,182,675,1055,116,164
"963",85,1546,282,38,178,765,1122,104,63,58.66,1546,178,765,1122,132,148
"964",75,1476,304,35,227,733,1264,65,46,71.34,2079,320,1033,1781,116,127
"965",68,1355,257,33,179,620,1110,82,41,60.49,1524,201,698,1249,119,161
"966",79,1415,268,32,176,578,1164,161,72,56.59,1415,176,578,1164,91,146
"967",65,1494,306,29,165,455,1070,122,62,57.64,1494,165,455,1070,115,164
"968",69,1442,291,34,213,461,1056,109,70,58.63,1451,214,464,1063,107,156
"969",79,1553,307,41,177,562,982,83,38,43,1553,177,562,982,105,171
"970",66,1439,291,60,139,466,972,133,61,51,1439,139,466,972,131,165
"971",55,1348,267,37,125,365,1041,65,44,64,1356,126,367,1047,143,149
"972",43,1312,201,39,153,443,1099,98,63,47,1312,153,443,1099,138,194
"973",72,1531,284,54,201,518,1144,86,50,50,1531,201,518,1144,144,160
"974",71,1521,283,45,168,384,1038,66,28,53,1521,168,384,1038,110,171
"975",95,1548,294,40,203,430,1133,60,40,45,1548,203,430,1133,106,162
"976",82,1413,228,86,37,238,601,285.32,115.98,56.64,2758,72,465,1173,736,86
"977",66,1539,271,79,21,274,625,297.54,117.95,54.51,2544,35,453,1033,734,112.23
"978",62,1376,224,99,38,324,677,310.12,117.96,53.95,2064,57,486,1016,668,110.06
"979",115,1660,232,107,70,493,561,256,95.68,55.07,2186,92,649,739,491,124.27
"980",103,1834,278,165,72,460,337,349,89.63,54.6,2396,94,601,440,502,122.88
"981",84,1577,219,89,63,380,490,239,109.89,54.96,1950,78,470,606,573,120.99
"982",17,1313,145,34,0,78,162,45,22,50.81,7335,0,436,905,1553,100.59
"983",64,1356,197,31,94,498,1054,117,56,60.32,1356,94,498,1054,122,130
"984",72,1469,254,34,132,492,1051,92,37,61.41,2069,186,693,1481,134,156
"985",76,1448,242,33,163,586,1038,148,60,56.83,1640,185,664,1176,130,162
"986",80,1413,240,30,150,553,1122,99,46,54.38,1413,150,553,1122,111,187
"987",92,1410,272,28,136,686,1074,115,58,54.7,1410,136,686,1074,119,167
"988",54,1381,277,36,114,525,1120,115,57,59.72,1381,114,525,1120,129,177
"989",64,1465,266,44,128,479,1145,92,46,61.82,1465,128,479,1145,127,150
"990",79,1450,276,29,161,543,1191,169,55,60,1459,162,546,1198,126,145
"991",79,1433,280,32,146,595,1130,177,73,61,1433,146,595,1130,106,163
"992",91,1459,292,44,157,515,978,150,74,57,1459,157,515,978,78,162
"993",83,1447,275,32,148,499,968,96,43,58,1447,148,499,968,86,153
"994",83,1499,306,32,128,512,918,96,38,67,1499,128,512,918,103,177
"995",78,1454,309,42,182,497,1249,110,58,74,1454,182,497,1249,126,166
"996",112,1694,229,52,5,93,186,271.11,104.11,54.46,4036,12,222,443,803,64
"997",87,1779,176,87,11,84,271,250.92,109.66,53.41,4969,31,235,757,874,89
"998",49,1794,281,58,6,79,0,77.07,54.48,52.28,5484,18,241,0,1531,94.35
"999",107,1725,194,67,4,79,0,264.75,108.42,54.46,3408,8,156,0,853,85.54
"1000",65,1387,172,48,106,499,816,43,30,52.46,1404,107,505,826,175,151
"1001",66,1184,170,39,62,456,938,39,30,57.65,1184,62,456,938,162,100
"1002",66,1214,162,41,70,381,872,40,48,53.28,1214,70,381,872,149,124
"1003",65,1299,188,42,97,502,877,90,37,54.33,1299,97,502,877,166,130
"1004",72,1405,203,35,112,491,885,90,47,53.92,1405,112,491,885,174,126
"1005",69,1372,259,46,93,537,934,88,38,57.96,1372,93,537,934,157,120
"1006",72,1233,205,28,66,479,988,44,51,59.15,1233,66,479,988,152,129
"1007",81,1284,208,40,104,699,972,101,58,55.99,1284,104,699,972,150,136
"1008",79,1446,250,47,129,598,911,114,41,54.83,1446,129,598,911,138,144
"1009",79,1319,230,52,71,478,888,101,51,57.2,1319,71,478,888,104,152
"1010",89,1439,247,40,142,555,960,118,59,55.68,1524,150,588,1016,121,160
"1011",82,1391,216,35,134,469,962,92,48,55.9,1391,134,469,962,112,140
"1012",81,1441,222,41,110,471,864,108,65,56.74,1441,110,471,864,108,161
"1013",64,1410,219,54,85,526,767,134,62,52.03,1419,86,529,772,138,167
"1014",80,1401,195,50,66,530,719,150,57,55.33,1401,66,530,719,140,155
"1015",81,1405,263,60,114,515,839,187,72,56.41,1405,114,515,839,142,136
"1016",74,1408,231,45,70,434,743,178,59,52.16,1408,70,434,743,132,109
"1017",89,1382,224,52,49,461,745,190,95,56.31,1382,49,461,745,137,146
"1018",92,1446,230,67,75,537,750,193,74,53.38,1437,75,534,745,139,144
"1019",90,1396,236,52,66,501,719,119,63,56.53,2056,97,738,1059,128,119
"1020",77,1342,236,48,74,435,830,140,61,53.51,1342,74,435,830,136,154
"1021",85,1412,239,60,97,517,869,164,95,54.07,1412,97,517,869,147,165
"1022",80,1465,222,67,79,494,837,105,61,55.36,1465,79,494,837,133,160
